Round,Investment,Equity_Pct,Years,End_Month,ARR,Company_Valuation,Equity_Value,Absolute_Return,ROI_Percentage,Multiple,Is_Historical
Pre-Seed,500000,16.7,1,12,1323456.7632401097,10587654.105920877,1768138.2356887863,1268138.2356887863,253.62764713775726,3.5362764713775725,True
Pre-Seed,500000,16.7,3,36,207415176.14710924,2488982113.765311,415660012.99880683,415160012.99880683,83032.00259976137,831.3200259976137,True
Pre-Seed,500000,16.7,5,60,5716793501.897337,68601522022.76804,11456454177.802261,11455954177.802261,2291190.835560452,22912.908355604523,True
Pre-Seed,500000,16.7,7,84,80914506392.22176,970974076706.6611,162152670810.0124,162152170810.0124,32430434.162002474,324305.34162002476,True
Pre-Seed,500000,16.7,10,119,1649306168142.5166,19791674017710.2,3305209560957.603,3305209060957.603,661041812.1915207,6610419.121915206,True
Seed,2500000,20.8,1,18,6085067.764248198,48680542.11398558,10125552.759709002,7625552.759709002,305.0221103883601,4.050221103883601,True
Seed,2500000,20.8,3,42,505345572.4610497,6064146869.532597,1261342548.86278,1258842548.86278,50353.701954511205,504.53701954511206,True
Seed,2500000,20.8,5,66,11283936700.55745,135407240406.68939,28164706004.591396,28162206004.591396,1126488.2401836559,11265.88240183656,True
Seed,2500000,20.8,7,90,146898579204.61365,1762782950455.3638,366658853694.7157,366656353694.7157,14666254.147788629,146663.5414778863,True
Seed,2500000,20.8,10,119,1649306168142.5166,19791674017710.2,4116668195683.7217,4116665695683.7217,164666627.82734886,1646667.2782734886,True
Series A,10000000,20.0,1,30,66158155.27859612,793897863.3431535,158779572.6686307,148779572.6686307,1487.7957266863068,15.877957266863069,False
Series A,10000000,20.0,3,54,2896305501.4054685,34755666016.86562,6951133203.373125,6941133203.373125,69411.33203373125,695.1133203373125,False
Series A,10000000,20.0,5,78,43143770120.479645,517725241445.75574,103545048289.15115,103535048289.15115,1035350.4828915114,10354.504828915115,False
Series A,10000000,20.0,7,102,438874455593.541,5266493467122.492,1053298693424.4985,1053288693424.4985,10532886.934244985,105329.86934244985,False
Series A,10000000,20.0,10,119,1649306168142.5166,19791674017710.2,3958334803542.04,3958324803542.04,39583248.0354204,395833.480354204,False
Series B,30000000,20.0,1,48,1231222094.4954474,14774665133.94537,2954933026.789074,2924933026.789074,9749.77675596358,98.4977675596358,False
Series B,30000000,20.0,3,72,22272490237.7406,267269882852.8872,53453976570.577446,53423976570.577446,178079.92190192483,1781.7992190192483,False
Series B,30000000,20.0,5,96,258115933114.94885,3097391197379.386,619478239475.8773,619448239475.8773,2064827.464919591,20649.27464919591,False
Series B,30000000,20.0,7,119,1649306168142.5166,19791674017710.2,3958334803542.04,3958304803542.04,13194349.345140133,131944.49345140133,False
Series B,30000000,20.0,10,119,1649306168142.5166,19791674017710.2,3958334803542.04,3958304803542.04,13194349.345140133,131944.49345140133,False
Series C,75000000,18.8,1,66,11283936700.55745,135407240406.68939,25456561196.457607,25381561196.457607,33842.08159527681,339.4208159527681,False
Series C,75000000,18.8,3,90,146898579204.61365,1762782950455.3638,331403194685.6084,331328194685.6084,441770.9262474778,4418.709262474778,False
Series C,75000000,18.8,5,114,1148843419462.9072,13786121033554.887,2591790754308.319,2591715754308.319,3455621.005744425,34557.21005744425,False
Series C,75000000,18.8,7,119,1649306168142.5166,19791674017710.2,3720834715329.5176,3720759715329.5176,4961012.95377269,49611.1295377269,False
Series C,75000000,18.8,10,119,1649306168142.5166,19791674017710.2,3720834715329.5176,3720759715329.5176,4961012.95377269,49611.1295377269,False
