Date,Engineering,Sales,Operations,Leadership,Is_Historical,Total_Team
2024-01-31,3,2,1,2,True,8
2024-02-29,3,2,1,2,True,8
2024-03-31,3,2,1,2,True,8
2024-04-30,3,2,1,2,True,8
2024-05-31,3,2,1,2,True,8
2024-06-30,4,2,1,2,True,9
2024-07-31,4,3,1,2,True,10
2024-08-31,4,3,1,2,True,10
2024-09-30,4,3,1,2,True,10
2024-10-31,5,3,1,2,True,11
2024-11-30,5,4,1,2,True,12
2024-12-31,5,4,1,2,True,12
2025-01-31,6,5,1,3,True,15
2025-02-28,6,5,1,3,True,15
2025-03-31,6,5,1,3,True,15
2025-04-30,7,6,2,3,True,18
2025-05-31,7,6,2,3,True,18
2025-06-30,8,7,2,3,True,20
2025-07-31,8,7,2,3,False,20
2025-08-31,9,8,2,3,False,22
2025-09-30,9,9,2,3,False,23
2025-10-31,10,10,2,3,False,25
2025-11-30,10,10,2,3,False,25
2025-12-31,11,11,3,3,False,28
2026-01-31,12,12,3,4,False,31
2026-02-28,12,13,3,4,False,32
2026-03-31,13,14,3,4,False,34
2026-04-30,14,15,3,4,False,36
2026-05-31,15,17,3,4,False,39
2026-06-30,16,18,4,4,False,42
2026-07-31,17,20,4,4,False,45
2026-08-31,18,21,4,4,False,47
2026-09-30,19,23,4,4,False,50
2026-10-31,20,25,5,4,False,54
2026-11-30,21,27,5,4,False,57
2026-12-31,23,29,5,4,False,61
2027-01-31,24,31,5,5,False,65
2027-02-28,25,34,6,5,False,70
2027-03-31,27,37,6,5,False,75
2027-04-30,29,40,6,5,False,80
2027-05-31,30,43,7,5,False,85
2027-06-30,32,46,7,5,False,90
2027-07-31,34,50,7,5,False,96
2027-08-31,36,54,8,5,False,103
2027-09-30,38,59,8,5,False,110
2027-10-31,41,63,8,5,False,117
2027-11-30,43,68,9,5,False,125
2027-12-31,46,74,9,5,False,134
2028-01-31,49,80,10,6,False,145
2028-02-29,52,86,10,6,False,154
2028-03-31,55,93,11,6,False,165
2028-04-30,58,101,12,6,False,177
2028-05-31,62,109,12,6,False,189
2028-06-30,65,118,13,6,False,202
2028-07-31,69,127,13,6,False,215
2028-08-31,73,137,14,6,False,230
2028-09-30,78,148,15,6,False,247
2028-10-31,83,160,16,6,False,265
2028-11-30,88,173,16,6,False,283
2028-12-31,93,187,17,6,False,303
2029-01-31,98,202,18,7,False,325
2029-02-28,104,218,19,7,False,348
2029-03-31,111,236,20,7,False,374
2029-04-30,117,255,21,7,False,400
2029-05-31,124,275,22,7,False,428
2029-06-30,132,297,23,7,False,459
2029-07-31,140,321,25,7,False,493
2029-08-31,148,347,26,7,False,528
2029-09-30,157,374,27,7,False,565
2029-10-31,167,404,28,7,False,606
2029-11-30,177,437,30,7,False,651
2029-12-31,187,472,31,7,False,697
2030-01-31,199,509,33,8,False,749
2030-02-28,211,550,35,8,False,804
2030-03-31,223,594,36,8,False,861
2030-04-30,237,642,38,8,False,925
2030-05-31,251,693,40,8,False,992
2030-06-30,266,749,42,8,False,1065
2030-07-31,282,809,44,8,False,1143
2030-08-31,299,873,47,8,False,1227
2030-09-30,317,943,49,8,False,1317
2030-10-31,336,1019,52,8,False,1415
2030-11-30,356,1100,54,8,False,1518
2030-12-31,378,1189,57,8,False,1632
2031-01-31,400,1284,60,8,False,1752
2031-02-28,424,1386,63,8,False,1881
2031-03-31,450,1497,66,8,False,2021
2031-04-30,477,1617,69,8,False,2171
2031-05-31,505,1747,73,8,False,2333
2031-06-30,536,1886,76,8,False,2506
2031-07-31,568,2037,80,8,False,2693
2031-08-31,602,2200,84,8,False,2894
2031-09-30,638,2376,89,8,False,3111
2031-10-31,676,2567,93,8,False,3344
2031-11-30,717,2772,98,8,False,3595
2031-12-31,760,2994,103,8,False,3865
2032-01-31,806,3233,108,8,False,4155
2032-02-29,854,3492,113,8,False,4467
2032-03-31,905,3771,119,8,False,4803
2032-04-30,960,4073,125,8,False,5166
2032-05-31,1017,4399,131,8,False,5555
2032-06-30,1078,4751,138,8,False,5975
2032-07-31,1143,5131,144,8,False,6426
2032-08-31,1212,5542,152,8,False,6914
2032-09-30,1285,5985,159,8,False,7437
2032-10-31,1362,6464,167,8,False,8001
2032-11-30,1443,6981,176,8,False,8608
2032-12-31,1530,7540,185,8,False,9263
2033-01-31,1622,8143,194,8,False,9967
2033-02-28,1719,8794,204,8,False,10725
2033-03-31,1822,9498,214,8,False,11542
2033-04-30,1932,10258,224,8,False,12422
2033-05-31,2048,11078,236,8,False,13370
2033-06-30,2171,11965,247,8,False,14391
2033-07-31,2301,12922,260,8,False,15491
2033-08-31,2439,13956,273,8,False,16676
2033-09-30,2585,15072,287,8,False,17952
2033-10-31,2740,16278,301,8,False,19327
2033-11-30,2905,17580,316,8,False,20809
2033-12-31,3079,18987,332,8,False,22406
